,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
1156,fly12,fly1,16729,16882,154,,
1875,fly4,fly11,16746,16807,62,,
2225,fly7,fly1,16747,16760,14,,
1712,fly6,fly5,16752,17014,263,,
2789,fly8,fly4,16757,16796,40,,
2028,fly4,fly8,16760,16816,57,,
2973,fly10,fly12,16766,16810,45,,
938,fly11,fly4,16777,16792,16,,
2260,fly7,fly6,16779,16846,68,,
1023,fly11,fly8,16812,17069,258,,
2974,fly10,fly12,16813,16829,17,,
1294,fly12,fly10,16850,17085,236,,
2516,fly5,fly6,16937,17014,78,,
279,fly3,fly9,16966,17097,132,,
1157,fly12,fly1,17016,17062,47,,
2144,fly7,fly2,17041,17055,15,,
3027,fly10,fly6,17042,17058,17,,
2975,fly10,fly12,17054,17085,32,,
3028,fly10,fly6,17075,17097,23,,
1190,fly12,fly6,17081,17208,128,,
2489,fly5,fly1,17113,17139,27,,
1410,fly1,fly5,17115,17179,65,,
2517,fly5,fly6,17151,17201,51,,
2352,fly7,fly8,17153,17174,22,,
2185,fly7,fly11,17175,17198,24,,
1258,fly12,fly5,17177,17199,23,,
2480,fly5,fly12,17178,17191,14,,
1259,fly12,fly5,17266,17280,15,,
2145,fly7,fly2,17275,17293,19,,
2045,fly4,fly10,17282,17328,47,,
3054,fly10,fly4,17282,17333,52,,
700,fly2,fly7,17301,17350,50,,
394,fly3,fly6,17304,17327,24,,
1487,fly6,fly3,17311,17327,17,,
1488,fly6,fly3,17333,17355,23,,
1994,fly4,fly5,17339,17365,27,,
1738,fly6,fly8,17356,17374,19,,
2644,fly8,fly3,17397,17429,33,,
1556,fly6,fly11,17399,17418,20,,
701,fly2,fly7,17404,17421,18,,
1213,fly12,fly4,17406,17646,241,,
702,fly2,fly7,17434,17449,16,,
703,fly2,fly7,17457,17472,16,,
1557,fly6,fly11,17467,17510,44,,
911,fly11,fly6,17467,17506,40,,
2146,fly7,fly2,17476,17507,32,,
2186,fly7,fly11,17524,17568,45,,
973,fly11,fly7,17524,17570,47,,
842,fly11,fly2,17569,17582,14,,
562,fly2,fly11,17571,17619,49,,
1489,fly6,fly3,17582,17651,70,,
1521,fly6,fly2,17630,17669,40,,
652,fly2,fly6,17631,17680,50,,
1914,fly4,fly1,17635,17653,19,,
1385,fly1,fly4,17646,17671,26,,
330,fly3,fly11,17655,17670,16,,
2379,fly7,fly10,17666,17694,29,,
1214,fly12,fly4,17670,17699,30,,
1900,fly4,fly12,17672,17687,16,,
818,fly11,fly3,17695,17708,14,,
1215,fly12,fly4,17705,17718,14,,
1901,fly4,fly12,17711,17870,160,,
1386,fly1,fly4,17772,17786,15,,
614,fly2,fly1,17785,17799,15,,
2813,fly8,fly7,17792,17823,32,,
1216,fly12,fly4,17855,17870,16,,
1373,fly1,fly6,17903,17945,43,,
1799,fly4,fly9,17904,17924,21,,
2380,fly7,fly10,17938,17962,25,,
939,fly11,fly4,17943,17993,51,,
1621,fly6,fly1,17943,17994,52,,
2903,fly10,fly3,17953,17971,19,,
1260,fly12,fly5,17956,18105,150,,
819,fly11,fly3,17959,17994,36,,
238,fly9,fly8,17962,17993,32,,
2381,fly7,fly10,17965,17984,20,,
3079,fly10,fly7,17972,18016,45,,
1374,fly1,fly6,17978,18008,31,,
2046,fly4,fly10,18000,18038,39,,
615,fly2,fly1,18018,18103,86,,
3055,fly10,fly4,18033,18049,17,,
1876,fly4,fly11,18050,18084,35,,
2353,fly7,fly8,18065,18096,32,,
2814,fly8,fly7,18078,18096,19,,
940,fly11,fly4,18082,18123,42,,
